User,Type,Screenshot,Order,Video,Channels,Verified ,Bias Rating,Factual,MBFC Credibility Rating
Jaeden,Control,R2,5,berkshire hathaway annual shareholders meeting 2021 featuring Warren Buffett and Charlie Munger,yahoo finance ,,left-center,high,high
Jaeden,Control,R2,6,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Jaeden,Control,R3,1,watch: the first 2020 presidential debate,pbs newshour,,left-center,high,high
Jaeden,Control,R3,2,watch in full: trump versus biden in the first us presidential election debate,sky News,,least bias,high,high 
Jaeden,Control,R3,3,trump and biden face off in final 2020 presidential debate,cbs news,,left-center,high,high 
Jaeden,Control,R3,4,berkshire hathaway annual shareholders meeting 2021 featuring Warren Buffett and Charlie Munger,yahoo finance ,,left-center,high,high
Jaeden,Control,R3,5,watch: trump's full 2019 state of the union address,pbs newshour,,left-center,high,high
Jaeden,Control,R3,6,"live coverage: joe biden wins presidency, cbs news projects",cbs news,,left-center,high,high
Jaeden,Control,R4,1,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Jaeden,Control,R4,2,kennedy vs nixon: the first 1960 presidential debate,pbs newshour,,left-center,high,high
Jaeden,Control,R4,3,the third presidential debate: hillary clinton and donal trump (Full Debate) | NBC News,nbc news ,,left-center,high,high
Jaeden,Control,R4,4,replay: the first 2020 presidential debate on CNN,cnn,,left ,mixed,medium
Jaeden,Control,R4,5,mccain vs obama: the first 2008 presidential debate,pbs newshour,,left-center,high,high
Jaeden,Control,R4,6,obama vs. romney: the first 2012 presidential election,pbs newshour,,left-center,high,high
Jaeden,Control,R5,1,watch: the full 2020 vice presidential debate,pbs newshour,,left-center,high,high
Jaeden,Control,R5,2,the third presidential debate: hillary clinton and donal trump (Full Debate) | NBC News,nbc news ,,left-center,high,high
Jaeden,Control,R5,3,first 2020 presidential debate between donald trump and joe biden,c-span,,least bias,very high,high
Jaeden,Control,R5,4,berkshire hathaway annual shareholders meeting 2021 featuring Warren Buffett and Charlie Munger,yahoo finance ,,left-center,high,high
Jaeden,Control,R5,5,trump v biden: the final debate,sky News,,least bias,high,high
Jaeden,Control,R5,6,clinton vs. dole: the first 1996 presidential debate,pbs newshour,,left-center,high,high
Jaeden,Control,R6,1,"watch full 2020 vp debate: mike pence, kamala harris face off in Utah",cbs news,,left-center,high,high 
Jaeden,Control,R6,2,watch in full: trump versus biden in the first us presidential election debate,sky News,,least bias,high,high 
Jaeden,Control,R6,3,trump delivers 2019 state of the union address,pbs newshour,,left-center,high,high
Jaeden,Control,R6,4,bush vs. gore: the first 2000 presidential debate,pbs newshour,,left-center,high,high
Jaeden,Control,R6,5,watch live: sackler family members who own purdue testify before Congress,pbs newshour,,left-center,high,high
Jaeden,Control,R6,6,the vice-presidential debate: tim kaine and mike pence (full debate) | NBC News,nbc news ,,left-center,high,high
Jaeden,Control,R7,1,first presidential debate of 2020 election | NBC News NOW,Nbc news ,,left-center,high,high
Jaeden,Control,R7,2,"watch: 2020 vice presidential debate between mike pence, Kamala Harris | NBC News NOW",Nbc news ,,left-center,high,high
Jaeden,Control,R7,3,berkshire hathaway annual shareholders meeting 2021 featuring Warren Buffett and Charlie Munger,yahoo finance ,,left-center,high,high
Jaeden,Control,R7,4,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Jaeden,Control,R7,5,trump and biden face off in final 2020 presidential debate,cbs news,,left-center,high,high
Jaeden,Control,R7,6,china: power and prosperity -- watch the full documentary,pbs newshour,,left-center,high,high
No Account ,Control,Search,1,election 2020 results and analysis,cbs news,,left-center,high,high
