User,Type,Screenshot,Order,Video,Channels,Verified ,Bias Rating,Factual,MBFC Credibility Rating
Derren,Right ,R6,6,President Obama at the White House Correspondents Dinner | Best Jokes of Obama,mango news,,,,
Derren,Right ,R7,1,first debate cold open - snl,saturday night live,,,,
Derren,Right ,R7,2,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Derren,Right ,R7,3,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,nbc news ,,left-center,high,high
Derren,Right ,R7,4,president donald trump: the 60 minutes 2020 election interview,60 minutes ,,left-center,high,high
Derren,Right ,R7,5,Clarkson's Favourite Rally Battle: 1983 Audi Quattro VS. Lancia 037 | Amazon Prime Video NL,Amazon Prime Video Nederland,,,,
Derren,Right ,R7,6,Launch Control: Climb to the Clouds at Mt. Washington – Episode 5.07,subaru,0,,,
Dongxue,Right ,Search,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Dongxue,Right ,Search,2,Election Results 2020: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,,,
Dongxue,Right ,Search,3,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Dongxue,Right ,Search,4,2020 presidential election results are officially certified,inside edition,,left-center,high,
Dongxue,Right ,Search,5,Map shows how election results shifted toward Biden,CNN,,left ,mixed,medium credibility
Dongxue,Right ,R1,1,Sen. Tim Scott delivers GOP rebuttal to Biden's remarks | FULL,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R1,2,Trump on if he's considering a 2024 presidential run | 'Hannity' exclusive,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R1,3,"john king: If Trump loses here, he's done",cnn,,left ,mixed,medium credibility
Dongxue,Right ,R1,4,Gutfeld: Biden offers message of 'unify then crucify',fox news ,,right,mixed,medium credibility
Dongxue,Right ,R1,5,"""Obama out:"" President Barack Obama's hilarious final White House correspondents' dinner speech",global news,,left-center,high,high
Dongxue,Right ,R1,6,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Dongxue,Right ,R2,1,Tim Scott joins 'Hannity' to respond to racist attacks on social media,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R2,2,"Romney booed, called a traitor during fiery Utah conference",sky news australia,,right-center,mixed,medium
Dongxue,Right ,R2,3,Pete Hegseth responds to Ilhan Omar's tweet about him,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R2,4,gutfeld: Biden offers message of 'unify then crucify',fox news ,,right,mixed,medium credibility
Dongxue,Right ,R2,5,China's ISS Competitor Begins Construction In Orbit,scott manley,,,,
Dongxue,Right ,R2,6,Proud leftist racists resort to ‘racial slurs’ to attack black Republican senator,sky news australia,,right-center,mixed,medium
Dongxue,Right ,R3,1,Washington Post under fire for Tim Scott 'fact-check',fox news ,,right,mixed,medium credibility
Dongxue,Right ,R3,2,Tyrus calls out 'casual racism' from left against Tim Scott,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R3,3,Proud leftist racists resort to ‘racial slurs’ to attack black Republican senator,sky news australia,,right-center,mixed,medium
Dongxue,Right ,R3,4,LAPD officer who penned letter to LeBron slams 'dangerous' police rhetoric,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R3,5,Caitlyn Jenner says 'California is crumbling' in 'Hannity' exclusive,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R3,6,Creepy far-left racists showed themselves when Tim Scott didn’t ‘sing from BLM song sheet’,sky news australia,,right-center,mixed,medium
Dongxue,Right ,R4,1,Tim Scott joins 'Hannity' to respond to racist attacks on social media,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R4,2,"Viral Moment: Ted Cruz Confronts Stacey Abrams: ""You Still Refuse To Concede You Lost The Race""",forbes breaking news,,right-center,mostly factual,high
Dongxue,Right ,R4,3,Outnumbered panel reacts to mass exodus of police in liberal cities,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R4,4,Chauvin alternate juror describes fear among jury,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R4,5,"Trey Gowdy, Kayleigh McEnany rip liberals for attacking Caitlyn Jenner",fox news ,,right,mixed,medium credibility
Dongxue,Right ,R4,6,Creepy far-left racists showed themselves when Tim Scott didn’t ‘sing from BLM song sheet’,sky news australia,,right-center,mixed,medium
Dongxue,Right ,R5,1,Tyrus calls out 'casual racism' from left against Tim Scott,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R5,2,the leader of the free world is cognitively delinquent,sky news australia,,right-center,mixed,medium
Dongxue,Right ,R5,3,Proud leftist racists resort to ‘racial slurs’ to attack black Republican senator,sky news australia,,right-center,mixed,medium
Dongxue,Right ,R5,4,Creepy far-left racists showed themselves when Tim Scott didn’t ‘sing from BLM song sheet’,sky news australia,,right-center,mixed,medium
Dongxue,Right ,R5,5,Black officer destroyed LeBron James' anti-cop narrative: Leo Terrell,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R5,6,Disable farmer denied aid based on race speaks out on 'Tucker Carlson Tonight',fox news ,,right,mixed,medium credibility
Dongxue,Right ,R6,1,Black Guns Matter founder: Most Americans see the 'fake media' CNN is,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R6,2,tyrus: woman who racially berated cop should be ashamed,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R6,3,desantis hits ocasio-cortez: i don't care if she's an eskimo,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R6,4,LAPD officer who penned letter to LeBron slams 'dangerous' police rhetoric,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R6,5,tim scott fires back at msnbc host's disparaging comments,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R6,6,this is the most important trump story you never heard,sky news australia,,right-center,mixed,medium
Dongxue,Right ,R7,1,candace owens on blm co-founder's million dollar home,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R7,2,Dogfights: F-86 Sabres Battle at Extreme Speeds in the Korean War | Full Episode | History,history,,,,
Dongxue,Right ,R7,3,Pete Hegseth responds to Ilhan Omar's tweet about him,fox news ,,right,mixed,medium credibility
Dongxue,Right ,R7,4,fremont police release body cam video of deadly gunfight,mercury news,,left-center,high,
Dongxue,Right ,R7,5,desantis hits ocasio-cortez: i don't care if she's an eskimo,fox news,,right,mixed,medium credibility
Dongxue,Right ,R7,6,caityln jenner rips newsom's response to covid,fox news ,,right,mixed,medium credibility
